,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Municipalidad de Traiguén- BOTTOM 90%,217.2459,147,10000,0,0,1.0,0.0,0.0,10000
Hospital de Melipilla- TOP 10%,20.3569,20,5211,1347,3442,0.5211,0.1347,0.3442,10000
Hospital de Melipilla- BOTTOM 90%,118.2665,108,9882,64,54,0.9882,0.0064,0.0054,10000
Municipalidad de Conchalí- TOP 10%,19.4197,20,0,4406,5594,0.0,0.4406,0.5594,10000
Municipalidad de Conchalí- BOTTOM 90%,167.0925,153,9884,76,40,0.9884,0.0076,0.004,10000
Servicio de Salud Viña del Mar  Quillota- TOP 10%,26.7,27,2630,3759,3611,0.263,0.3759,0.3611,10000
Servicio de Salud Viña del Mar  Quillota- BOTTOM 90%,319.052,293,9962,28,10,0.9962,0.0028,0.001,10000
Servicio de Salud Coquimbo- TOP 10%,26.0694,27,1949,5744,2307,0.1949,0.5744,0.2307,10000
Servicio de Salud Coquimbo- BOTTOM 90%,223.2498,231,1642,8075,283,0.1642,0.8075,0.0283,10000
Municipalidad de Chanco- TOP 10%,8.7905,9,0,1923,8077,0.0,0.1923,0.8077,10000
Municipalidad de Chanco- BOTTOM 90%,110.8939,96,9982,12,6,0.9982,0.0012,0.0006,10000
Municipalidad de Frutillar- TOP 10%,21.9509,22,3431,2856,3713,0.3431,0.2856,0.3713,10000
Municipalidad de Frutillar- BOTTOM 90%,154.4271,147,8746,964,290,0.8746,0.0964,0.029,10000
Municipalidad de Futrono- TOP 10%,8.8876,9,0,1072,8928,0.0,0.1072,0.8928,10000
Municipalidad de Futrono- BOTTOM 90%,193.9568,205,345,9490,165,0.0345,0.949,0.0165,10000
Municipalidad de Cerrillos- TOP 10%,34.182,36,0,8411,1589,0.0,0.8411,0.1589,10000
Municipalidad de Cerrillos- BOTTOM 90%,213.9191,207,8227,1417,356,0.8227,0.1417,0.0356,10000
Municipalidad de Huechuraba- TOP 10%,67.6671,69,2444,6166,1390,0.2444,0.6166,0.139,10000
Municipalidad de Huechuraba- BOTTOM 90%,366.4774,349,9499,431,70,0.9499,0.0431,0.007,10000
Municipalidad de Tirúa- TOP 10%,3.9791,4,0,209,9791,0.0,0.0209,0.9791,10000
Municipalidad de Tirúa- BOTTOM 90%,142.8409,136,8775,891,334,0.8775,0.0891,0.0334,10000
Fondo Nacional de Salud (FONASA)- TOP 10%,37.7533,39,981,6684,2335,0.0981,0.6684,0.2335,10000
Fondo Nacional de Salud (FONASA)- BOTTOM 90%,382.2622,346,9998,1,1,0.9998,0.0001,0.0001,10000
Municipalidad de Santa Juana- TOP 10%,6.9149,7,0,825,9175,0.0,0.0825,0.9175,10000
Municipalidad de Santa Juana- BOTTOM 90%,113.1167,99,9983,7,10,0.9983,0.0007,0.001,10000
Municipalidad de La Granja- TOP 10%,39.5429,41,816,7079,2105,0.0816,0.7079,0.2105,10000
Municipalidad de La Granja- BOTTOM 90%,324.5502,296,9979,16,5,0.9979,0.0016,0.0005,10000
Hospital Guillermo Grant Benavente de Concepción- TOP 10%,148.544,147,5784,3576,640,0.5784,0.3576,0.064,10000
Hospital Guillermo Grant Benavente de Concepción- BOTTOM 90%,544.4367,540,6137,3577,286,0.6137,0.3577,0.0286,10000
Municipalidad de Villa Alegre- TOP 10%,12.545,13,0,3686,6314,0.0,0.3686,0.6314,10000
Municipalidad de Villa Alegre- BOTTOM 90%,137.666,121,9970,22,8,0.997,0.0022,0.0008,10000
Municipalidad de La Unión- TOP 10%,21.3315,21,5009,1401,3590,0.5009,0.1401,0.359,10000
Municipalidad de La Unión- BOTTOM 90%,243.9165,232,9333,521,146,0.9333,0.0521,0.0146,10000
Corporación Municipal de Maria Pinto- TOP 10%,5.9512,6,0,477,9523,0.0,0.0477,0.9523,10000
Corporación Municipal de Maria Pinto- BOTTOM 90%,101.3588,90,9965,19,16,0.9965,0.0019,0.0016,10000
Municipalidad de Villa Alemana- TOP 10%,11.7728,11,7958,221,1821,0.7958,0.0221,0.1821,10000
Municipalidad de Villa Alemana- BOTTOM 90%,117.865,114,7749,1590,661,0.7749,0.159,0.0661,10000
Municipalidad de Rengo- TOP 10%,37.3704,40,211,8909,880,0.0211,0.8909,0.088,10000
Municipalidad de Rengo- BOTTOM 90%,301.7679,325,61,9914,25,0.0061,0.9914,0.0025,10000
Municipalidad de Río Negro- TOP 10%,8.8379,9,0,1502,8498,0.0,0.1502,0.8498,10000
Municipalidad de Río Negro- BOTTOM 90%,128.9568,126,6826,2557,617,0.6826,0.2557,0.0617,10000
Defensoría Penal Pública (DPP)- TOP 10%,109.1603,123,12,9979,9,0.0012,0.9979,0.0009,10000
Defensoría Penal Pública (DPP)- BOTTOM 90%,110.6852,111,4374,4789,837,0.4374,0.4789,0.0837,10000
Instituto Nacional del Deporte (IND)- TOP 10%,35.9728,37,1262,6068,2670,0.1262,0.6068,0.267,10000
Instituto Nacional del Deporte (IND)- BOTTOM 90%,80.0503,89,40,9896,64,0.004,0.9896,0.0064,10000
Municipalidad de Hijuelas- TOP 10%,26.7222,19,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Hijuelas- BOTTOM 90%,163.8381,132,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Quilicura- TOP 10%,38.6398,39,3101,4223,2676,0.3101,0.4223,0.2676,10000
Municipalidad de Quilicura- BOTTOM 90%,389.001,427,3,9997,0,0.0003,0.9997,0.0,10000
Municipalidad de San Javier- TOP 10%,15.3168,16,0,5040,4960,0.0,0.504,0.496,10000
Municipalidad de San Javier- BOTTOM 90%,232.1117,195,10000,0,0,1.0,0.0,0.0,10000
Servicio Nacional del Patrimonio Cultural- TOP 10%,53.456,29,10000,0,0,1.0,0.0,0.0,10000
Servicio Nacional del Patrimonio Cultural- BOTTOM 90%,110.3604,56,10000,0,0,1.0,0.0,0.0,10000
Servicio de Salud del Reloncaví- TOP 10%,53.4012,30,10000,0,0,1.0,0.0,0.0,10000
Servicio de Salud del Reloncaví- BOTTOM 90%,366.4814,195,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Calbuco- TOP 10%,23.7475,17,9999,0,1,0.9999,0.0,0.0001,10000
Municipalidad de Calbuco- BOTTOM 90%,274.0765,205,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Penco- TOP 10%,20.2149,20,4463,1830,3707,0.4463,0.183,0.3707,10000
Municipalidad de Penco- BOTTOM 90%,226.5447,213,9565,327,108,0.9565,0.0327,0.0108,10000
Municipalidad de Gorbea- TOP 10%,7.9231,8,0,747,9253,0.0,0.0747,0.9253,10000
Municipalidad de Gorbea- BOTTOM 90%,157.1668,155,6283,3016,701,0.6283,0.3016,0.0701,10000
Municipalidad de Pinto- TOP 10%,4.9167,5,0,813,9187,0.0,0.0813,0.9187,10000
Municipalidad de Pinto- BOTTOM 90%,102.2208,124,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Pencahue- TOP 10%,1.9936,2,0,64,9936,0.0,0.0064,0.9936,10000
Municipalidad de Pencahue- BOTTOM 90%,99.2355,83,9995,2,3,0.9995,0.0002,0.0003,10000
Corporación Municipal de Pirque- TOP 10%,7.9126,8,0,835,9165,0.0,0.0835,0.9165,10000
Corporación Municipal de Pirque- BOTTOM 90%,119.0639,102,9999,1,0,0.9999,0.0001,0.0,10000
Municipalidad de Marchige- TOP 10%,8.8245,8,8398,147,1455,0.8398,0.0147,0.1455,10000
Municipalidad de Marchige- BOTTOM 90%,78.2223,77,5902,3064,1034,0.5902,0.3064,0.1034,10000
Hospital Regional de Rancagua- TOP 10%,66.0802,62,8832,685,483,0.8832,0.0685,0.0483,10000
Hospital Regional de Rancagua- BOTTOM 90%,290.9912,311,133,9812,55,0.0133,0.9812,0.0055,10000
Hospital de Ovalle- TOP 10%,43.6331,41,7958,1178,864,0.7958,0.1178,0.0864,10000
Hospital de Ovalle- BOTTOM 90%,167.5992,156,9388,455,157,0.9388,0.0455,0.0157,10000
Hospital de Osorno- TOP 10%,65.0816,59,9672,150,178,0.9672,0.015,0.0178,10000
Hospital de Osorno- BOTTOM 90%,330.2848,331,4560,5094,346,0.456,0.5094,0.0346,10000
Municipalidad de Lumaco- TOP 10%,1.9971,2,0,29,9971,0.0,0.0029,0.9971,10000
Municipalidad de Lumaco- BOTTOM 90%,131.2565,131,4846,4259,895,0.4846,0.4259,0.0895,10000
Municipalidad de Máfil- TOP 10%,2.9898,3,0,102,9898,0.0,0.0102,0.9898,10000
Municipalidad de Máfil- BOTTOM 90%,98.9705,92,9609,219,172,0.9609,0.0219,0.0172,10000
Servicio de Salud Osorno- TOP 10%,19.2047,19,4410,1897,3693,0.441,0.1897,0.3693,10000
Servicio de Salud Osorno- BOTTOM 90%,158.8796,146,9760,165,75,0.976,0.0165,0.0075,10000
Municipalidad de Mostazal- TOP 10%,11.6683,12,0,2869,7131,0.0,0.2869,0.7131,10000
Municipalidad de Mostazal- BOTTOM 90%,140.4838,142,3641,5702,657,0.3641,0.5702,0.0657,10000
Municipalidad de El Tabo- TOP 10%,15.5854,15,6551,630,2819,0.6551,0.063,0.2819,10000
Municipalidad de El Tabo- BOTTOM 90%,132.9599,123,9713,177,110,0.9713,0.0177,0.011,10000
Municipalidad de Purranque- TOP 10%,11.7202,12,0,2469,7531,0.0,0.2469,0.7531,10000
Municipalidad de Purranque- BOTTOM 90%,207.5241,195,9452,424,124,0.9452,0.0424,0.0124,10000
Municipalidad de Curicó- TOP 10%,54.577,60,87,9684,229,0.0087,0.9684,0.0229,10000
Municipalidad de Curicó- BOTTOM 90%,436.6663,589,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Punitaqui- TOP 10%,8.6985,7,9632,28,340,0.9632,0.0028,0.034,10000
Municipalidad de Punitaqui- BOTTOM 90%,97.6424,91,8951,745,304,0.8951,0.0745,0.0304,10000
Municipalidad de Salamanca- TOP 10%,4.9221,5,0,759,9241,0.0,0.0759,0.9241,10000
Municipalidad de Salamanca- BOTTOM 90%,124.2507,135,254,9613,133,0.0254,0.9613,0.0133,10000
Municipalidad de La Ligua- TOP 10%,13.6794,14,0,2778,7222,0.0,0.2778,0.7222,10000
Municipalidad de La Ligua- BOTTOM 90%,200.8744,166,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Codegua- TOP 10%,6.8923,7,0,1033,8967,0.0,0.1033,0.8967,10000
Municipalidad de Codegua- BOTTOM 90%,138.9834,116,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Pichilemu- TOP 10%,6.8893,7,0,1055,8945,0.0,0.1055,0.8945,10000
Municipalidad de Pichilemu- BOTTOM 90%,136.776,135,5904,3431,665,0.5904,0.3431,0.0665,10000
Municipalidad de Paillaco- TOP 10%,20.3889,13,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Paillaco- BOTTOM 90%,196.8342,153,10000,0,0,1.0,0.0,0.0,10000
Servicio de Salud OHiggins- TOP 10%,30.5912,33,0,9197,803,0.0,0.9197,0.0803,10000
Servicio de Salud OHiggins- BOTTOM 90%,345.6058,321,9902,74,24,0.9902,0.0074,0.0024,10000
Municipalidad de Laja- TOP 10%,12.6958,13,0,2642,7358,0.0,0.2642,0.7358,10000
Municipalidad de Laja- BOTTOM 90%,197.5679,188,9046,730,224,0.9046,0.073,0.0224,10000
Municipalidad de Los Vilos- TOP 10%,7.7715,8,0,2066,7934,0.0,0.2066,0.7934,10000
Municipalidad de Los Vilos- BOTTOM 90%,119.5623,125,1463,8099,438,0.1463,0.8099,0.0438,10000
Hospital Herminda Martin- TOP 10%,81.883,90,159,9714,127,0.0159,0.9714,0.0127,10000
Hospital Herminda Martin- BOTTOM 90%,169.6331,288,0,10000,0,0.0,1.0,0.0,10000
Hospital de Linares- TOP 10%,66.0516,52,10000,0,0,1.0,0.0,0.0,10000
Hospital de Linares- BOTTOM 90%,224.4584,213,9141,683,176,0.9141,0.0683,0.0176,10000
Municipalidad de Yumbel- TOP 10%,7.897,8,0,975,9025,0.0,0.0975,0.9025,10000
Municipalidad de Yumbel- BOTTOM 90%,166.1383,151,9918,51,31,0.9918,0.0051,0.0031,10000
Municipalidad de Galvarino- TOP 10%,1.9978,2,0,22,9978,0.0,0.0022,0.9978,10000
Municipalidad de Galvarino- BOTTOM 90%,159.1749,138,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de San Miguel- TOP 10%,24.0903,21,9884,19,97,0.9884,0.0019,0.0097,10000
Municipalidad de San Miguel- BOTTOM 90%,174.0654,148,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Lo Prado- TOP 10%,19.4236,19,5553,1124,3323,0.5553,0.1124,0.3323,10000
Municipalidad de Lo Prado- BOTTOM 90%,150.1747,147,6998,2360,642,0.6998,0.236,0.0642,10000
Municipalidad de Arauco- TOP 10%,13.6471,14,0,3032,6968,0.0,0.3032,0.6968,10000
Municipalidad de Arauco- BOTTOM 90%,355.1107,281,10000,0,0,1.0,0.0,0.0,10000
Instituto de Neurocirugía- TOP 10%,23.1683,21,9521,85,394,0.9521,0.0085,0.0394,10000
Instituto de Neurocirugía- BOTTOM 90%,130.3758,137,606,9097,297,0.0606,0.9097,0.0297,10000
Servicio de Salud Antofagasta- TOP 10%,38.7275,37,7728,1108,1164,0.7728,0.1108,0.1164,10000
Servicio de Salud Antofagasta- BOTTOM 90%,244.1016,228,9696,229,75,0.9696,0.0229,0.0075,10000
Hospital Mauricio Heyermann de Angol- TOP 10%,30.7503,27,9918,11,71,0.9918,0.0011,0.0071,10000
Hospital Mauricio Heyermann de Angol- BOTTOM 90%,148.8578,131,9998,0,2,0.9998,0.0,0.0002,10000
Municipalidad de Nogales- TOP 10%,5.9441,6,0,551,9449,0.0,0.0551,0.9449,10000
Municipalidad de Nogales- BOTTOM 90%,150.6024,161,210,9651,139,0.021,0.9651,0.0139,10000
Municipalidad de Chiguayante- TOP 10%,27.5123,28,2119,4409,3472,0.2119,0.4409,0.3472,10000
Municipalidad de Chiguayante- BOTTOM 90%,191.8026,186,7793,1781,426,0.7793,0.1781,0.0426,10000
Municipalidad de Independencia- TOP 10%,26.865,27,3177,3127,3696,0.3177,0.3127,0.3696,10000
Municipalidad de Independencia- BOTTOM 90%,242.1376,220,9987,12,1,0.9987,0.0012,0.0001,10000
Servicio de Salud Araucanía Sur- TOP 10%,41.6916,41,5917,1947,2136,0.5917,0.1947,0.2136,10000
Servicio de Salud Araucanía Sur- BOTTOM 90%,490.3961,456,9968,24,8,0.9968,0.0024,0.0008,10000
Hospital Barros Luco- TOP 10%,131.7255,132,4403,4738,859,0.4403,0.4738,0.0859,10000
Hospital Barros Luco- BOTTOM 90%,499.1568,472,9834,131,35,0.9834,0.0131,0.0035,10000
Municipalidad de Rauco- TOP 10%,3.9679,3,9686,7,307,0.9686,0.0007,0.0307,10000
Municipalidad de Rauco- BOTTOM 90%,123.0003,93,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Lebu- TOP 10%,11.7458,12,0,2271,7729,0.0,0.2271,0.7729,10000
Municipalidad de Lebu- BOTTOM 90%,126.87,113,9960,19,21,0.996,0.0019,0.0021,10000
Municipalidad de Casablanca- TOP 10%,8.8751,9,0,1176,8824,0.0,0.1176,0.8824,10000
Municipalidad de Casablanca- BOTTOM 90%,166.8273,158,9160,620,220,0.916,0.062,0.022,10000
Corporación Municipal de Ancud- TOP 10%,1.9944,2,0,56,9944,0.0,0.0056,0.9944,10000
Corporación Municipal de Ancud- BOTTOM 90%,328.3096,220,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de La Pintana- TOP 10%,63.5078,62,6810,1993,1197,0.681,0.1993,0.1197,10000
Municipalidad de La Pintana- BOTTOM 90%,460.1391,423,9985,11,4,0.9985,0.0011,0.0004,10000
Corporación Municipal de Quilpué- TOP 10%,55.3308,51,9463,224,313,0.9463,0.0224,0.0313,10000
Corporación Municipal de Quilpué- BOTTOM 90%,309.8134,335,36,9949,15,0.0036,0.9949,0.0015,10000
Municipalidad de Illapel- TOP 10%,11.4552,12,0,4272,5728,0.0,0.4272,0.5728,10000
Municipalidad de Illapel- BOTTOM 90%,148.6074,170,6,9990,4,0.0006,0.999,0.0004,10000
Superintendencia de Educación- TOP 10%,66.853,69,1447,7370,1183,0.1447,0.737,0.1183,10000
Superintendencia de Educación- BOTTOM 90%,96.4361,108,24,9956,20,0.0024,0.9956,0.002,10000
Corporación Municipal de Talagante- TOP 10%,6.9322,7,0,658,9342,0.0,0.0658,0.9342,10000
Corporación Municipal de Talagante- BOTTOM 90%,172.1485,171,5486,3826,688,0.5486,0.3826,0.0688,10000
Municipalidad de Negrete- TOP 10%,9.8323,10,0,1567,8433,0.0,0.1567,0.8433,10000
Municipalidad de Negrete- BOTTOM 90%,137.5928,116,9999,0,1,0.9999,0.0,0.0001,10000
Servicio de Salud Arauco- TOP 10%,32.8575,33,3500,3622,2878,0.35,0.3622,0.2878,10000
Servicio de Salud Arauco- BOTTOM 90%,298.3066,269,9989,8,3,0.9989,0.0008,0.0003,10000
Municipalidad de Puerto Varas- TOP 10%,19.1895,20,0,5657,4343,0.0,0.5657,0.4343,10000
Municipalidad de Puerto Varas- BOTTOM 90%,212.3962,235,10,9983,7,0.001,0.9983,0.0007,10000
Instituto de Previsión Social (IPS)- TOP 10%,30.5189,31,2210,4374,3416,0.221,0.4374,0.3416,10000
Instituto de Previsión Social (IPS)- BOTTOM 90%,121.2575,137,3,9993,4,0.0003,0.9993,0.0004,10000
Subsecretaría de Educación (MINEDUC)- TOP 10%,193.1935,216,6,9989,5,0.0006,0.9989,0.0005,10000
Subsecretaría de Educación (MINEDUC)- BOTTOM 90%,453.5476,455,4351,5342,307,0.4351,0.5342,0.0307,10000
Servicio Local de Educación Pública Andalién Sur- TOP 10%,29.3131,31,0,8311,1689,0.0,0.8311,0.1689,10000
Servicio Local de Educación Pública Andalién Sur- BOTTOM 90%,506.7001,494,8302,1506,192,0.8302,0.1506,0.0192,10000
Municipalidad de Graneros- TOP 10%,3.9707,4,0,291,9709,0.0,0.0291,0.9709,10000
Municipalidad de Graneros- BOTTOM 90%,85.612,80,9056,612,332,0.9056,0.0612,0.0332,10000
Municipalidad de La Reina- TOP 10%,15.6326,16,0,3090,6910,0.0,0.309,0.691,10000
Municipalidad de La Reina- BOTTOM 90%,155.3446,139,9979,13,8,0.9979,0.0013,0.0008,10000
Municipalidad de Coltauco- TOP 10%,20.9198,21,3310,2926,3764,0.331,0.2926,0.3764,10000
Municipalidad de Coltauco- BOTTOM 90%,140.4613,152,159,9753,88,0.0159,0.9753,0.0088,10000
Municipalidad de San Esteban- TOP 10%,12.735,13,0,2341,7659,0.0,0.2341,0.7659,10000
Municipalidad de San Esteban- BOTTOM 90%,132.4049,132,4904,4251,845,0.4904,0.4251,0.0845,10000
Hospital Dr. Augusto Riffart de Castro- TOP 10%,45.2776,48,437,8668,895,0.0437,0.8668,0.0895,10000
Hospital Dr. Augusto Riffart de Castro- BOTTOM 90%,162.8349,128,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de San Pedro- TOP 10%,1.9971,2,0,29,9971,0.0,0.0029,0.9971,10000
Municipalidad de San Pedro- BOTTOM 90%,121.1945,112,9753,163,84,0.9753,0.0163,0.0084,10000
Municipalidad de Lo Espejo- TOP 10%,35.0661,36,1444,5822,2734,0.1444,0.5822,0.2734,10000
Municipalidad de Lo Espejo- BOTTOM 90%,348.1801,327,9808,153,39,0.9808,0.0153,0.0039,10000
Hospital del Salvador- TOP 10%,84.4909,82,7391,1698,911,0.7391,0.1698,0.0911,10000
Hospital del Salvador- BOTTOM 90%,457.793,444,8678,1156,166,0.8678,0.1156,0.0166,10000
Municipalidad de Mulchén- TOP 10%,10.7908,10,8078,160,1762,0.8078,0.016,0.1762,10000
Municipalidad de Mulchén- BOTTOM 90%,207.755,191,9881,71,48,0.9881,0.0071,0.0048,10000
Municipalidad de Osorno- TOP 10%,82.651,84,3068,5845,1087,0.3068,0.5845,0.1087,10000
Municipalidad de Osorno- BOTTOM 90%,514.185,478,9949,39,12,0.9949,0.0039,0.0012,10000
Hospital de Puerto Montt- TOP 10%,110.282,111,4020,5100,880,0.402,0.51,0.088,10000
Hospital de Puerto Montt- BOTTOM 90%,346.8558,296,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Tome- TOP 10%,27.5063,27,5547,1866,2587,0.5547,0.1866,0.2587,10000
Municipalidad de Tome- BOTTOM 90%,343.717,302,9998,1,1,0.9998,0.0001,0.0001,10000
Servicio de Salud Magallanes- TOP 10%,10.7202,11,0,2472,7528,0.0,0.2472,0.7528,10000
Servicio de Salud Magallanes- BOTTOM 90%,161.6978,142,9972,16,12,0.9972,0.0016,0.0012,10000
Municipalidad de Monte Patria- TOP 10%,15.9471,15,7110,868,2022,0.711,0.0868,0.2022,10000
Municipalidad de Monte Patria- BOTTOM 90%,216.2395,189,9998,2,0,0.9998,0.0002,0.0,10000
Municipalidad de El Quisco- TOP 10%,14.6323,14,6925,547,2528,0.6925,0.0547,0.2528,10000
Municipalidad de El Quisco- BOTTOM 90%,202.9515,160,10000,0,0,1.0,0.0,0.0,10000
Servicio Local de Educación Pública Chinchorro- TOP 10%,30.4277,32,0,7968,2032,0.0,0.7968,0.2032,10000
Servicio Local de Educación Pública Chinchorro- BOTTOM 90%,493.3255,521,113,9855,32,0.0113,0.9855,0.0032,10000
Municipalidad de Yerbas Buenas- TOP 10%,15.3215,16,0,4955,5045,0.0,0.4955,0.5045,10000
Municipalidad de Yerbas Buenas- BOTTOM 90%,168.9662,161,8651,1040,309,0.8651,0.104,0.0309,10000
Municipalidad de Sagrada Familia- TOP 10%,3.9634,4,0,363,9637,0.0,0.0363,0.9637,10000
Municipalidad de Sagrada Familia- BOTTOM 90%,157.4288,129,10000,0,0,1.0,0.0,0.0,10000
Hospital San Pablo de Coquimbo- TOP 10%,47.9345,52,475,9003,522,0.0475,0.9003,0.0522,10000
Hospital San Pablo de Coquimbo- BOTTOM 90%,217.2304,209,8218,1476,306,0.8218,0.1476,0.0306,10000
Municipalidad de Litueche- TOP 10%,1.0,1,0,0,10000,0.0,0.0,1.0,10000
Municipalidad de Litueche- BOTTOM 90%,89.603,84,8994,650,356,0.8994,0.065,0.0356,10000
Municipalidad de San Antonio- TOP 10%,21.1985,22,0,5556,4444,0.0,0.5556,0.4444,10000
Municipalidad de San Antonio- BOTTOM 90%,315.2242,351,1,9998,1,0.0001,0.9998,0.0001,10000
Subsecretaría de Servicios Sociales- TOP 10%,77.388,82,273,9358,369,0.0273,0.9358,0.0369,10000
Subsecretaría de Servicios Sociales- BOTTOM 90%,33.4774,33,5306,2437,2257,0.5306,0.2437,0.2257,10000
Municipalidad de Teodoro Schmidt- TOP 10%,13.7599,9,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Teodoro Schmidt- BOTTOM 90%,129.8553,91,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Chillán Viejo- TOP 10%,10.556,11,0,3720,6280,0.0,0.372,0.628,10000
Municipalidad de Chillán Viejo- BOTTOM 90%,109.6633,158,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de San Vicente de Tagua Tagua- TOP 10%,7.8597,8,0,1322,8678,0.0,0.1322,0.8678,10000
Municipalidad de San Vicente de Tagua Tagua- BOTTOM 90%,86.2494,83,7691,1604,705,0.7691,0.1604,0.0705,10000
Municipalidad de Alhué- TOP 10%,1.9975,2,0,25,9975,0.0,0.0025,0.9975,10000
Municipalidad de Alhué- BOTTOM 90%,102.9003,85,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Peñalolén- TOP 10%,28.7119,29,2665,3699,3636,0.2665,0.3699,0.3636,10000
Municipalidad de Peñalolén- BOTTOM 90%,198.7015,185,9737,192,71,0.9737,0.0192,0.0071,10000
Hospital Dr. Hernán Henríquez Aravena de Temuco- TOP 10%,134.1299,124,9827,104,69,0.9827,0.0104,0.0069,10000
Hospital Dr. Hernán Henríquez Aravena de Temuco- BOTTOM 90%,557.0285,503,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de El Monte- TOP 10%,4.9697,5,0,295,9705,0.0,0.0295,0.9705,10000
Municipalidad de El Monte- BOTTOM 90%,137.2096,119,10000,0,0,1.0,0.0,0.0,10000
Servicio de Salud Metropolitano Sur- TOP 10%,53.4845,39,10000,0,0,1.0,0.0,0.0,10000
Servicio de Salud Metropolitano Sur- BOTTOM 90%,373.0673,214,10000,0,0,1.0,0.0,0.0,10000
Corporación Municipal de Quellón- TOP 10%,4.9563,5,0,432,9568,0.0,0.0432,0.9568,10000
Corporación Municipal de Quellón- BOTTOM 90%,278.1973,252,9960,25,15,0.996,0.0025,0.0015,10000
Municipalidad de Ñuñoa- TOP 10%,49.1526,53,0,9818,182,0.0,0.9818,0.0182,10000
Municipalidad de Ñuñoa- BOTTOM 90%,249.7031,251,4181,5358,461,0.4181,0.5358,0.0461,10000
Municipalidad de Yungay- TOP 10%,16.8282,18,0,7168,2832,0.0,0.7168,0.2832,10000
Municipalidad de Yungay- BOTTOM 90%,88.5807,129,0,10000,0,0.0,1.0,0.0,10000
Servicio Local de Educación Pública Puerto Cordillera- TOP 10%,21.973,22,3846,3309,2845,0.3846,0.3309,0.2845,10000
Servicio Local de Educación Pública Puerto Cordillera- BOTTOM 90%,230.845,250,122,9833,45,0.0122,0.9833,0.0045,10000
Hospital Luis Tisné- TOP 10%,66.0285,65,6032,2618,1350,0.6032,0.2618,0.135,10000
Hospital Luis Tisné- BOTTOM 90%,210.5206,209,5603,3858,539,0.5603,0.3858,0.0539,10000
Municipalidad de Chimbarongo- TOP 10%,12.6226,13,0,3162,6838,0.0,0.3162,0.6838,10000
Municipalidad de Chimbarongo- BOTTOM 90%,173.2147,170,6567,2878,555,0.6567,0.2878,0.0555,10000
Municipalidad de Chaitén- TOP 10%,14.554,15,0,3651,6349,0.0,0.3651,0.6349,10000
Municipalidad de Chaitén- BOTTOM 90%,77.6152,72,9305,379,316,0.9305,0.0379,0.0316,10000
Municipalidad de Coronel- TOP 10%,29.3048,28,7557,849,1594,0.7557,0.0849,0.1594,10000
Municipalidad de Coronel- BOTTOM 90%,409.0264,416,2524,7181,295,0.2524,0.7181,0.0295,10000
Corporación Municipal de San Bernardo- TOP 10%,74.9664,75,4430,4190,1380,0.443,0.419,0.138,10000
Corporación Municipal de San Bernardo- BOTTOM 90%,731.1999,635,10000,0,0,1.0,0.0,0.0,10000
Hospital Exequiel González- TOP 10%,48.3089,46,8356,755,889,0.8356,0.0755,0.0889,10000
Hospital Exequiel González- BOTTOM 90%,181.6306,176,7973,1603,424,0.7973,0.1603,0.0424,10000
Municipalidad de Teno- TOP 10%,5.908,6,0,876,9124,0.0,0.0876,0.9124,10000
Municipalidad de Teno- BOTTOM 90%,119.0986,119,4665,4524,811,0.4665,0.4524,0.0811,10000
Subsecretaría de Vivienda y Urbanismo (MINVU)- TOP 10%,77.4013,81,726,8557,717,0.0726,0.8557,0.0717,10000
Subsecretaría de Vivienda y Urbanismo (MINVU)- BOTTOM 90%,84.395,87,1763,7275,962,0.1763,0.7275,0.0962,10000
Municipalidad de San Clemente- TOP 10%,18.0272,19,0,6325,3675,0.0,0.6325,0.3675,10000
Municipalidad de San Clemente- BOTTOM 90%,328.3864,352,86,9880,34,0.0086,0.988,0.0034,10000
Instituto de Salud Pública (ISP)- TOP 10%,31.4576,30,8014,695,1291,0.8014,0.0695,0.1291,10000
Instituto de Salud Pública (ISP)- BOTTOM 90%,64.3729,61,8796,633,571,0.8796,0.0633,0.0571,10000
